Date,Open,High,Low,Close,Adj Close,Volume
2015-09-15,74.9,74.97,74.28,74.85,62.61,63782210
2015-09-16,75.12,77.71,75.09,77.71,65.01,124565490
2015-09-17,77.56,77.98,76.25,76.49,63.99,93647050
2015-09-18,76.75,77.19,75.31,75.5,63.16,103518130
2015-09-21,75.6,76.98,75.47,75.94,63.53,78643830
2015-09-22,76.1,76.13,73.91,74.39,62.23,102296950
2015-09-23,74.4,74.97,73.45,73.74,61.69,93374560
2015-09-24,73.94,74.3,72.67,73.33,61.34,101789760
2015-09-25,73.78,74.97,73.67,74.97,62.71,86018340
2015-09-28,74.99,75.67,74.25,74.57,62.38,69169380
2015-09-29,74.17,75.6,73.58,75.5,63.16,83624660
2015-09-30,75.68,76.76,75.2,75.3,62.99,86525120
2015-10-01,76.0,76.49,74.12,74.51,62.33,109392990
2015-10-02,74.6,75.0,72.95,73.8,61.74,98443470
2015-10-05,74.55,76.3,74.29,76.2,63.74,100484850
2015-10-06,76.28,77.34,75.7,77.31,64.67,102125210
2015-10-07,78.31,79.7,76.69,79.65,66.63,181436920
2015-10-08,79.15,83.29,78.37,83.11,69.52,234046020
2015-10-09,83.88,86.2,83.26,85.77,71.75,205573820
2015-10-12,85.8,86.6,83.86,85.45,71.48,146007620
2015-10-13,84.86,85.65,84.26,85.0,71.1,99736900
2015-10-14,84.48,87.1,84.02,86.81,72.62,114246530
2015-10-15,86.99,89.12,86.93,87.7,73.36,139294580
2015-10-16,88.57,90.07,88.3,88.52,74.05,143386100
2015-10-19,88.5,88.86,85.92,87.07,72.84,118152120
2015-10-20,86.96,89.34,86.14,88.14,73.73,109382370
2015-10-21,87.99,88.35,86.0,86.95,72.74,99081310
2015-10-22,86.63,87.6,86.03,86.53,72.38,90618250
2015-10-23,87.22,90.45,86.97,90.45,75.66,137358890
2015-10-26,90.89,92.7,89.72,92.3,77.21,154684320
2015-10-27,91.9,91.92,88.73,89.0,74.45,137755700
2015-10-28,89.0,90.49,87.33,90.05,75.33,128577920
2015-10-29,89.73,91.0,88.31,88.6,74.12,114433270
2015-10-30,88.75,90.8,88.12,90.53,75.73,85414040
2015-11-02,90.25,93.8,89.66,93.65,78.34,125019670
2015-11-03,93.89,95.59,93.32,95.4,79.8,122438730
2015-11-05,96.0,96.6,94.6,95.5,79.89,127769250
2015-11-06,95.5,95.91,93.57,94.09,78.71,106579170
2015-11-09,94.5,94.79,92.7,92.95,77.76,79039400
2015-11-10,92.78,94.42,92.02,94.35,78.93,71523380
2015-11-11,94.2,94.86,92.65,94.0,78.63,77489920
2015-11-12,93.4,94.77,92.69,94.29,78.88,79197840
2015-11-13,93.4,94.39,92.96,93.4,78.13,79071320
2015-11-16,93.01,96.14,93.01,95.8,80.14,88111720
2015-11-17,96.52,102.67,96.52,102.5,85.74,181101510
2015-11-18,102.78,104.59,101.74,104.0,87.0,136661570
2015-11-19,104.7,108.55,102.54,104.86,87.72,191081370
2015-11-20,104.35,107.3,103.19,107.3,89.76,113711020
2015-11-23,106.88,110.32,105.22,109.98,92.0,173233750
2015-11-24,109.81,110.7,105.15,105.6,88.34,154170880
2015-11-25,106.3,108.94,105.44,108.51,90.77,119491800
2015-11-26,108.77,109.3,105.6,106.48,89.07,80653490
2015-11-27,105.74,106.06,103.7,104.55,87.46,93334840
2015-11-30,103.9,105.9,102.75,102.9,86.08,87247790
2015-12-01,103.5,103.9,100.6,101.3,84.74,98894750
2015-12-02,101.48,103.49,101.15,102.5,85.74,89735480
2015-12-03,101.9,105.02,101.5,104.0,87.0,96438740
2015-12-04,103.7,105.67,102.25,103.05,86.2,107660660
2015-12-07,103.45,104.9,102.78,103.0,86.16,91341440
2015-12-08,102.8,103.08,96.95,97.0,81.14,159235470
2015-12-09,97.47,101.05,97.24,100.66,84.21,119148390
2015-12-10,100.3,101.75,99.67,100.13,83.76,88967510
2015-12-11,99.89,100.59,97.76,98.15,82.11,90959100
2015-12-14,97.58,98.37,96.23,97.7,81.73,101851290
2015-12-15,98.5,100.79,98.24,100.0,83.65,87563530
2015-12-16,100.25,102.5,100.07,102.45,85.7,70548170
2015-12-17,102.95,105.18,102.55,103.75,86.79,120219301
2015-12-18,103.05,103.18,98.8,98.81,82.66,108929250
2015-12-21,98.9,100.8,97.65,98.73,82.59,81398290
2015-12-22,99.5,100.4,99.1,99.8,83.49,48799790
2015-12-23,100.15,102.96,100.13,102.96,86.13,72286800
2015-12-24,103.75,103.89,100.4,101.35,84.78,72255900
2015-12-25,101.83,102.32,100.78,101.34,84.77,26197790
2015-12-28,101.2,101.54,99.46,100.2,83.82,36924620
2015-12-29,100.49,102.5,99.74,101.82,85.18,72703690
2015-12-30,101.67,101.85,100.47,101.26,84.71,38868080
2016-01-04,101.0,101.78,97.94,98.01,81.99,51264550
2016-01-05,97.88,99.24,97.16,98.89,82.72,49071570
2016-01-06,98.7,99.56,96.83,96.85,81.02,40710930
2016-01-11,93.61,94.89,91.01,91.03,76.15,86120290
2016-01-12,89.09,92.88,88.52,91.71,76.72,110109050
2016-01-13,92.75,93.88,91.25,91.5,76.54,74169700
2016-01-14,91.0,93.15,90.37,93.04,77.83,81220992
2016-01-15,92.44,92.95,86.85,87.27,73.0,133791200
2016-01-18,86.01,88.28,85.1,86.15,72.07,100574240
2016-01-19,87.39,89.7,85.76,86.68,72.51,114039
2016-01-20,84.89,85.19,82.2,83.83,70.13,134624680
2016-01-21,84.25,87.15,83.27,86.0,71.94,143863130
2016-01-22,88.97,92.28,87.62,91.5,76.54,207689990
2016-01-25,92.55,93.35,90.0,91.0,76.12,131784760
2016-01-26,89.06,91.76,88.74,91.5,76.54,105375580
2016-01-27,91.98,96.26,91.47,95.75,80.1,150816500
2016-01-28,95.77,97.28,94.33,96.69,80.88,179555940
2016-01-29,97.47,98.7,95.12,96.5,80.73,165405380
2016-02-01,96.27,97.49,95.29,96.5,80.73,89622070
2016-02-02,95.7,97.07,93.75,94.4,78.97,128999060
2016-02-03,93.91,96.89,93.71,94.53,79.08,112704620
2016-02-04,98.56,98.56,96.71,97.57,81.62,122053010
2016-02-05,97.01,97.98,96.35,97.2,81.31,81434160
2016-02-08,97.05,97.86,93.85,94.7,79.22,106207300
2016-02-09,94.0,95.63,92.7,93.89,78.54,121341460
2016-02-10,93.5,96.77,93.16,96.35,80.6,111478
2016-02-11,95.71,96.1,93.05,94.2,78.8,115370090
2016-02-12,95.14,95.67,94.18,94.85,79.34,79435870
2016-02-15,96.0,96.37,94.93,95.25,79.68,68610990
2016-02-16,95.99,97.28,95.7,96.51,80.73,114943000
2016-02-17,96.51,99.38,96.05,99.2,82.98,114840150
2016-02-18,99.9,102.8,99.75,102.7,85.91,125646250
2016-02-19,101.99,103.57,101.0,101.5,84.91,171600390
2016-02-22,102.57,104.39,102.39,103.2,86.33,66187510
2016-02-24,102.0,102.7,100.79,102.1,85.41,89140580
2016-02-25,102.65,104.35,101.51,104.05,87.04,110333690
2016-02-26,105.0,107.15,104.83,106.24,88.87,144091540
2016-02-29,105.5,107.38,104.81,107.0,89.51,91798290
2016-03-01,107.5,108.79,106.42,108.26,90.56,114856490
2016-03-02,109.0,109.2,106.1,106.12,88.77,97924280
2016-03-03,106.7,107.63,105.4,106.99,89.5,80188360
2016-03-04,107.7,109.02,106.7,108.99,91.17,84288020
2016-03-07,109.62,110.2,108.57,109.47,91.57,75021080
2016-03-09,108.99,109.07,107.5,108.15,90.47,72419980
2016-03-10,108.26,109.9,107.67,108.84,91.05,94994800
2016-03-11,109.2,109.95,108.55,109.26,91.4,61331210
2016-03-14,109.28,109.56,108.4,109.26,91.4,66481000
2016-03-15,109.6,110.29,106.09,106.46,89.06,127043830
2016-03-16,107.2,107.27,106.12,107.0,89.51,75835060
2016-03-17,107.8,109.49,107.7,109.47,91.57,92997390
2016-03-18,109.59,112.5,108.91,112.4,94.03,134630750
2016-03-21,111.5,112.92,110.5,112.07,93.75,115565250
2016-03-22,112.27,114.19,111.0,111.49,93.26,107526080
2016-03-23,111.27,112.1,108.7,109.1,91.27,104185740
2016-03-24,108.59,109.29,107.05,108.06,90.4,93439810
2016-03-25,108.62,109.5,108.62,109.1,91.27,32979670
2016-03-28,110.0,110.11,107.69,108.12,90.45,50130419
2016-03-29,107.91,108.44,105.35,107.05,89.55,86835580
2016-03-30,107.98,109.91,107.52,109.15,91.31,84472720
2016-03-31,108.72,110.59,107.32,109.9,91.93,106590120
2016-04-01,109.3,109.4,107.01,108.52,90.78,101276220
2016-04-04,108.21,109.69,107.1,108.2,90.51,80458570
2016-04-05,107.24,107.64,106.0,106.87,89.4,75657580
2016-04-06,107.63,108.3,107.05,108.0,90.35,75577530
2016-04-07,108.99,109.38,107.62,108.51,90.77,80295520
2016-04-08,108.98,113.3,108.56,112.92,94.46,124450440
2016-04-11,113.0,117.85,112.62,117.35,98.17,150709430
2016-04-12,117.27,119.39,115.82,117.95,98.67,121033820
2016-04-13,118.1,119.95,117.35,119.5,99.97,103450650
2016-04-14,119.01,119.55,117.89,119.3,99.8,87986340
2016-04-15,118.95,119.91,118.11,119.3,99.8,70464930
2016-04-18,117.12,118.2,116.01,118.2,98.88,91828010
2016-04-19,118.9,123.35,118.78,121.5,101.64,137828350
2016-04-20,120.5,123.97,119.9,123.75,103.52,104454360
2016-04-21,124.99,125.55,118.2,119.17,99.69,181989880
2016-04-22,119.68,121.39,117.9,121.25,101.43,103041828
2016-04-25,121.01,121.51,119.6,120.08,100.45,67353690
2016-04-26,119.98,119.98,116.75,119.7,100.13,87583045
2016-04-27,120.25,122.37,119.57,120.8,101.05,90776270
2016-04-28,121.31,124.39,120.0,124.39,104.06,86145270
2016-04-29,124.43,125.78,122.0,123.55,103.35,102845100
2016-05-04,121.5,122.39,119.31,120.96,101.19,84920280
2016-05-05,121.46,122.3,120.4,120.92,101.15,56067230
2016-05-06,120.27,120.86,118.41,120.64,100.92,70324510
2016-05-10,119.8,121.35,118.57,119.55,100.01,66142640
2016-05-11,120.01,123.62,119.57,123.45,103.27,85404520
2016-05-12,123.46,124.38,121.01,121.2,101.39,82201850
2016-05-13,121.5,121.95,119.69,121.07,101.28,63730840
2016-05-16,122.2,123.62,121.63,122.6,102.56,59174910
2016-05-17,122.85,123.27,120.6,122.71,102.65,72505100
2016-05-18,122.49,123.54,121.83,123.12,102.99,50051460
2016-05-19,121.96,122.17,120.3,120.5,100.8,72437040
2016-05-20,121.83,122.47,120.8,121.9,101.97,54014280
2016-05-23,121.3,122.2,120.12,121.51,101.65,56408970
2016-05-24,121.45,124.07,121.35,123.5,103.31,56897510
2016-05-25,124.45,128.55,124.41,127.87,106.97,114073670
2016-05-26,128.54,133.05,126.9,132.16,110.56,125310740
2016-05-27,131.62,134.79,131.35,133.2,111.43,87175150
2016-05-30,133.51,135.08,132.55,134.45,112.47,37575080
2016-05-31,134.79,135.98,132.56,132.56,110.89,93363020
2016-06-01,132.36,133.21,131.31,131.36,109.89,64165110
2016-06-02,131.51,133.08,130.51,132.3,110.67,63947300
2016-06-03,133.07,134.44,131.04,131.59,110.08,68202630
2016-06-06,132.08,134.74,132.0,133.99,112.09,48666040
2016-06-07,134.5,139.97,134.02,139.97,117.09,101207331
2016-06-08,141.12,142.0,137.44,139.39,116.6,88575489
2016-06-09,139.9,140.71,137.07,139.61,116.79,56597300
2016-06-10,137.8,137.94,133.35,133.5,113.28,64569430
2016-06-14,131.22,132.37,126.15,127.08,107.83,109389570
2016-06-15,126.9,130.23,126.61,129.89,110.21,80324940
2016-06-16,129.0,129.24,125.85,127.1,107.84,67167630
2016-06-17,128.66,130.75,128.49,128.7,109.2,66796670
2016-06-20,132.45,133.48,131.2,132.13,112.11,47921580
2016-06-21,132.1,133.43,129.94,133.39,113.18,52409310
2016-06-22,134.61,135.79,133.51,134.81,114.39,45466013
2016-06-23,134.42,138.28,133.89,138.0,117.09,55163860
2016-06-24,131.5,133.5,129.12,133.4,113.19,107405790
2016-06-27,133.9,134.83,125.35,126.2,107.08,117447730
2016-06-28,127.85,129.71,125.7,129.57,109.94,91288180
2016-06-29,130.63,133.95,129.82,133.88,113.6,67216180
2016-06-30,133.65,135.34,131.14,133.0,112.85,86955520
2016-07-01,133.38,134.34,131.55,133.85,113.57,64562290
2016-07-04,134.65,135.84,133.8,134.6,114.21,37974790
2016-07-05,133.9,133.9,131.73,131.85,111.88,44241160
2016-07-06,131.51,132.04,127.85,129.36,109.76,70460970
2016-07-07,130.49,133.5,130.02,131.8,111.83,77524920
2016-07-08,130.63,134.49,130.35,134.41,114.05,75763390
2016-07-11,134.92,137.77,134.52,137.2,116.41,69836360
2016-07-12,137.55,140.47,136.9,140.4,119.13,63799710
2016-07-13,140.29,141.35,137.88,139.4,118.28,85670010
2016-07-14,140.0,140.65,137.57,140.0,118.79,61352910
2016-07-15,139.39,139.74,137.25,138.12,117.2,53551790
2016-07-18,138.43,139.93,137.9,139.93,118.73,46932760
2016-07-19,139.75,141.1,138.42,139.47,118.34,53219980
2016-07-20,139.55,140.0,137.41,138.57,117.58,63451000
2016-07-21,139.3,139.85,137.8,138.5,117.52,32417720
2016-07-22,137.86,138.87,137.57,137.8,116.92,33621139
2016-07-25,138.2,138.66,135.5,136.0,115.4,47091610
2016-07-26,136.2,136.7,133.33,135.75,115.18,65112170
2016-07-27,136.1,137.6,135.2,136.9,116.16,62463270
2016-07-28,137.0,137.34,134.82,136.85,116.12,56411550
2016-07-29,136.57,139.81,135.93,139.15,118.07,59193890
2016-08-01,140.0,141.21,137.59,138.52,117.53,47153870
2016-08-02,138.45,138.6,135.0,135.06,114.6,57230140
2016-08-03,134.73,136.2,134.27,135.73,115.17,46790060
2016-08-04,136.47,137.6,136.02,137.14,116.36,41613130
2016-08-05,137.48,138.89,137.31,138.69,117.68,44500460
2016-08-08,139.01,140.1,138.0,139.45,118.32,43544440
2016-08-09,139.21,140.25,137.85,139.2,118.11,52334380
2016-08-10,139.2,139.8,138.14,138.3,117.35,36208220
2016-08-11,138.16,139.74,137.68,139.7,118.54,38387973
2016-08-12,140.2,141.39,139.1,139.45,118.32,44408570
2016-08-15,140.25,140.49,138.86,139.5,118.37,40246250
2016-08-16,139.5,141.08,138.03,138.1,117.18,64976850
2016-08-17,138.2,138.8,137.17,138.44,117.47,42754590
2016-08-18,138.72,140.14,136.2,137.0,116.24,62192117
2016-08-19,137.7,137.7,135.52,135.8,115.23,42601100
2016-08-22,135.15,137.47,134.6,137.37,116.56,47528400
2016-08-23,137.0,140.48,136.9,140.35,119.09,59224560
2016-08-24,139.7,140.5,138.52,139.5,118.37,46466330
2016-08-25,139.99,142.9,139.67,142.84,121.2,76078810
2016-08-26,143.2,145.6,143.2,145.25,123.24,75195700
2016-08-29,144.47,144.47,142.51,143.55,121.8,45656960
2016-08-30,143.58,145.3,143.18,143.18,121.49,50500270
2016-08-31,143.2,144.05,142.55,143.5,121.76,45305830
2016-09-01,143.96,144.78,143.6,144.25,122.4,41963102
2016-09-02,144.45,147.09,143.82,146.88,124.63,53845560
2016-09-05,147.5,149.6,147.09,149.5,126.85,59600300
2016-09-06,149.8,150.81,149.06,150.64,127.82,60199935
2016-09-07,150.95,155.03,150.92,154.33,130.95,95300490
2016-09-08,155.23,156.25,152.67,153.45,130.2,64752830
2016-09-09,152.71,152.84,151.22,151.6,128.63,33786550
2016-09-12,149.73,151.69,148.65,151.43,128.49,56124240
2016-09-13,151.5,152.1,149.25,149.8,127.11,36177590
2016-09-14,149.85,151.55,149.35,150.86,128.01,38730080
2016-09-15,150.51,150.78,148.06,149.14,126.55,45152290
2016-09-16,149.3,149.68,147.0,147.0,124.73,49929080
2016-09-19,148.8,149.91,148.07,148.66,126.14,38986470
2016-09-20,148.12,149.4,147.04,149.3,126.68,35197710
2016-09-21,149.85,151.54,149.72,150.67,127.84,43825610
2016-09-22,152.54,154.5,151.62,154.18,130.82,66192587
2016-09-23,153.73,153.76,150.13,151.5,128.55,51201870
2016-09-26,149.9,152.45,148.7,149.1,126.51,52078770
2016-09-27,149.55,149.69,147.28,147.53,125.18,40476552
2016-09-28,148.12,149.34,146.71,147.18,124.88,40322000
2016-09-29,150.2,150.88,148.05,148.47,125.98,56728010
2016-09-30,147.0,147.0,144.6,145.34,123.32,58039520
2016-10-03,146.0,148.87,145.75,148.87,126.32,47993881
2016-10-04,149.1,149.12,146.21,148.1,125.66,46486550
2016-10-05,148.14,148.4,146.3,147.95,125.54,37993810
2016-10-06,148.34,149.69,147.55,148.9,126.34,32716690
2016-10-07,149.6,150.5,147.89,148.74,126.21,49440205
